time,count
2019-02-03 06:38:46.639122,9
2019-02-03 06:38:46.639255,9
2019-02-03 06:38:46.639371,9
2019-02-03 06:38:46.639482,9
2019-02-03 06:38:46.639650,9
2019-02-03 06:38:46.639765,9
2019-02-03 06:38:46.639895,9
2019-02-03 06:38:46.640167,9
2019-02-03 06:38:46.640275,9
2019-02-03 06:38:46.640365,9
2019-02-03 06:39:48.777058,4
2019-02-03 06:40:08.777767,4
2019-02-03 06:44:00.982681,6
2019-02-03 06:46:28.773450,7
2019-02-03 06:49:37.946270,4
2019-02-03 06:49:57.949081,4
2019-02-03 06:50:23.937209,1
2019-02-03 06:50:43.938310,1
2019-02-03 06:51:09.935859,5
2019-02-03 06:51:29.937628,5
2019-02-03 06:51:55.930083,3
2019-02-03 06:52:15.932776,3
2019-02-03 06:58:07.416768,25
2019-02-03 06:58:48.400306,5
2019-02-03 06:59:29.407271,8
2019-02-03 06:55:31.236878,58
2019-02-03 06:55:51.239202,58
2019-02-03 06:56:11.240206,58
2019-02-03 06:56:31.245813,58
2019-02-03 06:56:51.249501,58
2019-02-03 06:57:11.253073,58
2019-02-03 06:57:31.256364,58
2019-02-03 06:57:51.259919,58
2019-02-03 06:58:11.262274,58
2019-02-03 06:58:31.264404,58
2019-02-03 06:58:51.265109,58
2019-02-03 06:59:11.265663,58
2019-02-03 06:59:31.268296,58
2019-02-03 07:01:42.649276,11
2019-02-03 07:02:23.689015,14
2019-02-03 08:56:00.224084,2
2019-02-03 09:05:40.848312,0
2019-02-03 09:06:12.895645,1
2019-02-03 09:06:44.949494,1
2019-02-03 09:07:06.185519,1
2019-02-03 09:07:53.639345,0
2019-02-03 09:08:25.707644,0
2019-02-03 09:08:57.745309,5
2019-02-03 09:09:29.754312,1
2019-02-03 09:09:57.342461,4
2019-02-03 09:11:12.307432,0
2019-02-03 09:15:14.592961,14
2019-02-03 09:19:16.858736,4
2019-02-03 09:29:52.074324,1
2019-02-03 09:30:03.020120,2
2019-02-03 09:30:14.054578,2
2019-02-03 09:30:25.058157,1
2019-02-03 09:30:36.035841,1
2019-02-03 09:30:47.075289,6
2019-02-03 09:30:58.075399,6
2019-02-03 09:32:11.854671,1
2019-02-03 09:32:22.840672,6
2019-02-03 09:32:33.821418,4
2019-02-03 09:32:44.840717,4
2019-02-03 09:32:55.835709,6
2019-02-03 09:33:06.828615,5
2019-02-03 09:33:17.825646,4
2019-02-03 09:33:28.852085,1
2019-02-03 09:33:39.852787,3
2019-02-03 09:33:50.873871,11
2019-02-03 09:35:19.434726,4
2019-02-03 09:35:30.408942,2
2019-02-03 09:35:41.364451,1
2019-02-03 09:35:52.386375,1
2019-02-03 09:37:54.432354,1
2019-02-03 09:38:05.447217,1
2019-02-03 09:38:16.462564,0
2019-02-03 09:38:27.484901,3
2019-02-03 09:38:38.448868,1
2019-02-03 09:38:49.462883,1
2019-02-03 09:39:00.458595,5
2019-02-03 09:39:11.430301,4
2019-02-03 09:39:22.443006,0
2019-02-03 09:39:33.465946,0
2019-02-03 09:39:44.459710,0
2019-02-03 09:46:10.016509,2
2019-02-03 09:46:20.988515,1
2019-02-03 09:46:31.963539,5
2019-02-03 09:47:18.828675,8
2019-02-03 09:49:48.189826,2
2019-02-03 09:48:24.116641,2
2019-02-03 09:49:01.201485,1
2019-02-03 10:05:35.627048,14
2019-02-03 10:07:21.286148,46
2019-02-03 10:11:22.556889,23
2019-02-03 10:38:41.841264,17
2019-02-03 11:20:20.981318,12
